record_id,customer_id,old_plan,new_plan,change_date,change_reason,payment_status,amount_charged,payment_method
REC_00001,CUST_0001,,BASIC,2022-02-13,NEW,PAID,7.99,BANK_TRANSFER
REC_00002,CUST_0002,,STANDARD,2019-11-23,NEW,PAID,13.99,CARD
REC_00003,CUST_0003,,FREE,2022-07-12,,PAID,0.0,
REC_00004,CUST_0004,,PREMIUM,2019-02-17,NEW,PAID,17.99,BANK_TRANSFER
REC_00005,CUST_0004,PREMIUM,STANDARD,2020-03-08,DOWNGRADE,PAID,13.99,CARD
REC_00006,CUST_0005,,FREE,2019-11-19,NEW,PAID,0.0,
REC_00007,CUST_0005,FREE,BASIC,2020-09-13,UPGRADE,PAID,7.99,BANK_TRANSFER
REC_00008,CUST_0006,,FREE,2019-08-30,NEW,PAID,0.0,
REC_00009,CUST_0007,,PREMIUM,2020-03-23,NEW,PAID,17.99,CARD
REC_00010,CUST_0007,PREMIUM,STANDARD,2021-04-21,DOWNGRADE,PAID,13.99,CARD
REC_00011,CUST_0008,,STANDARD,2024-02-07,NEW,PAID,13.99,BANK_TRANSFER
REC_00012,CUST_0009,,FREE,2019-12-02,NEW,PAID,0.0,
REC_00013,CUST_0010,,PREMIUM,2024-12-06,NEW,PAID,17.99,PAYPAL
REC_00014,CUST_0011,,STANDARD,2020-04-03,NEW,PAID,13.99,PAYPAL
REC_00015,CUST_0012,,FREE,2020-03-18,NEW,PAID,0.0,
REC_00016,CUST_0012,FREE,FREE,2020-06-16,REACTIVATE,PAID,0.0,
REC_00017,CUST_0012,FREE,FREE,2021-05-18,REACTIVATE,PAID,17.99,
REC_00018,CUST_0013,,BASIC,2022-07-08,NEW,PAID,7.99,CARD
REC_00019,CUST_0013,BASIC,STANDARD,2022-09-17,UPGRADE,PAID,13.99,BANK_TRANSFER
REC_00020,CUST_0014,,PREMIUM,2020-12-13,NEW,PAID,17.99,BANK_TRANSFER
REC_00021,CUST_0015,,BASIC,2021-03-07,NEW,PAID,7.99,PAYPAL
REC_00022,CUST_0015,BASIC,BASIC,2022-03-26,REACTIVATE,PAID,7.99,BANK_TRANSFER
REC_00023,CUST_0015,BASIC,STANDARD,2023-04-07,UPGRADE,PAID,13.99,CARD
REC_00024,CUST_0016,,STANDARD,2020-10-13,NEW,PAID,13.99,CARD
REC_00025,CUST_0017,,PREMIUM,2019-03-22,NEW,PAID,17.99,CARD
REC_00026,CUST_0018,,FREE,2021-12-01,NEW,PAID,0.0,
REC_00027,CUST_0019,,STANDARD,2020-04-14,NEW,PAID,13.99,PAYPAL
REC_00028,CUST_0020,,BASIC,2024-02-27,NEW,PAID,7.99,PAYPAL
REC_00029,CUST_0021,,FREE,2022-02-05,NEW,PAID,0.0,
REC_00030,CUST_0022,,FREE,2024-06-06,,PAID,0.0,
REC_00031,CUST_0023,,STANDARD,2019-08-08,NEW,PAID,0.0,BANK_TRANSFER
REC_00032,CUST_0023,STANDARD,STANDARD,2020-05-21,REACTIVATE,PAID,13.99,CARD
REC_00033,CUST_0023,STANDARD,STANDARD,2020-08-22,REACTIVATE,PAID,13.99,PAYPAL
REC_00034,CUST_0023,STANDARD,PREMIUM,2021-04-14,UPGRADE,PAID,17.99,BANK_TRANSFER
REC_00035,CUST_0024,,BASIC,2024-04-08,NEW,PAID,7.99,PAYPAL
REC_00036,CUST_0025,,PREMIUM,2024-08-11,NEW,PAID,17.99,PAYPAL
REC_00037,CUST_0026,,BASIC,2020-03-04,NEW,PAID,7.99,PAYPAL
REC_00038,CUST_0027,,BASIC,2023-12-16,NEW,PAID,7.99,BANK_TRANSFER
REC_00039,CUST_0027,BASIC,STANDARD,2024-03-28,UPGRADE,PAID,13.99,PAYPAL
REC_00040,CUST_0028,,FREE,2021-02-19,NEW,PAID,0.0,
REC_00041,CUST_0028,FREE,BASIC,2021-06-15,UPGRADE,PAID,7.99,CARD
REC_00042,CUST_0029,,BASIC,2023-04-11,NEW,PAID,7.99,BANK_TRANSFER
REC_00043,CUST_0029,BASIC,BASIC,2023-08-29,REACTIVATE,PAID,7.99,CARD
REC_00044,CUST_0030,,STANDARD,2024-12-25,NEW,PAID,13.99,PAYPAL
REC_00045,CUST_0031,,STANDARD,2020-11-27,NEW,PAID,13.99,PAYPAL
REC_00046,CUST_0032,,FREE,2023-04-12,NEW,PAID,0.0,
REC_00047,CUST_0032,FREE,BASIC,2023-06-20,UPGRADE,PAID,7.99,CARD
REC_00048,CUST_0033,,STANDARD,2020-01-05,NEW,PAID,13.99,BANK_TRANSFER
REC_00049,CUST_0034,,BASIC,2023-06-05,NEW,PAID,7.99,PAYPAL
REC_00050,CUST_0035,,BASIC,2023-09-13,NEW,PAID,7.99,PAYPAL
REC_00051,CUST_0035,BASIC,STANDARD,2024-09-10,UPGRADE,PAID,13.99,PAYPAL
REC_00052,CUST_0036,,FREE,2020-05-30,NEW,PAID,0.0,
