log_id,customer_id,content_id,event_type,event_timestamp,device_code,session_id,duration_seconds,rating_given,quality_stream,ip_country,app_version
LOG_000001,CUST_0101,CNT_026,PLAY,2024-01-25 18:07:00,PC_WIN,SESS_00001,,,HD,TN,3.2.1
LOG_000002,CUST_0101,CNT_026,STOP,2024-01-25 18:23:58,PC_WIN,SESS_00001,2779,,HD,TN,3.2.1
LOG_000003,CUST_0101,CNT_026,RATE,2024-01-25 18:24:58,PC_WIN,SESS_00001,,5,HD,TN,3.2.1
LOG_000004,CUST_0171,CNT_047,PLAY,2024-02-16 14:06:00,MOB_AND,SESS_00002,,,HD,MA,3.2.1
LOG_000005,CUST_0171,CNT_047,STOP,2024-02-16 14:09:16,MOB_AND,SESS_00002,446,,HD,MA,3.2.1
LOG_000006,CUST_0657,CNT_012,PLAY,2023-07-17 15:42:00,TV_LG,SESS_00003,,,4K,MA,3.1.5
LOG_000007,CUST_0657,CNT_012,STOP,2023-07-17 16:22:12,TV_LG,SESS_00003,8745,,4K,MA,3.1.5
LOG_000008,CUST_1596,CNT_029,PLAY,1648417200,MOB_AND,SESS_00004,,,4K,CA,3.1.0
LOG_000009,CUST_1596,CNT_029,PAUSE,1648417615,MOB_AND,SESS_00004,415,,4K,CA,3.1.0
LOG_000010,CUST_1596,CNT_029,RESUME,1648417952,MOB_AND,SESS_00004,,,4K,CA,3.1.0
LOG_000011,CUST_1596,CNT_029,STOP,1648418917,MOB_AND,SESS_00004,2070,,4K,CA,3.1.0
LOG_000012,CUST_1596,CNT_029,RATE,1648418936,MOB_AND,SESS_00004,,4,4K,CA,3.1.0
LOG_000013,CUST_1258,CNT_009,PLAY,2022-08-29 20:25:00,MOB_IOS,SESS_00005,,,HD,MA,3.1.8
LOG_000014,CUST_1258,CNT_009,STOP,2022-08-29 20:35:36,MOB_IOS,SESS_00005,1504,,HD,MA,3.1.8
LOG_000015,CUST_1457,CNT_022,PLAY,2024-03-03 18:23:00,MOB_IOS,SESS_00006,,,HD,FR,3.2.1
LOG_000016,CUST_1457,CNT_022,STOP,2024-03-03 18:30:46,MOB_IOS,SESS_00006,1256,,HD,FR,3.2.1
LOG_000017,CUST_0746,CNT_025,PLAY,25/10/2022 19:30:00,TAB_IOS,SESS_00007,,,4K,BE,3.0.5
LOG_000018,CUST_0746,CNT_025,PAUSE,25/10/2022 19:50:14,TAB_IOS,SESS_00007,1214,,4K,BE,3.0.5
LOG_000019,CUST_0746,CNT_025,RESUME,25/10/2022 19:58:46,TAB_IOS,SESS_00007,,,4K,BE,3.0.5
LOG_000020,CUST_0746,CNT_025,STOP,25/10/2022 20:01:31,TAB_IOS,SESS_00007,2445,,4K,BE,3.0.5
LOG_000021,CUST_0306,CNT_007,PLAY,1712874420,TV_AND,SESS_00008,,,SD,BE,3.2.1
LOG_000022,CUST_0306,CNT_007,PAUSE,1712874553,TV_AND,SESS_00008,133,,SD,BE,3.2.1
LOG_000023,CUST_0306,CNT_007,RESUME,1712874762,TV_AND,SESS_00008,,,SD,BE,3.2.1
LOG_000024,CUST_0306,CNT_007,STOP,1712874825,TV_AND,SESS_00008,2491,,SD,BE,3.2.1
